%USGS SPCMSC mean beach slope derived from lidar surveys from 1996-2010
%iso_lon %iso_lat %sl_lon %sl_lat %slope %95_up %95_low %dhigh  %dlow
276.987 27.4800 277.295 27.4811 0.0081 0.0189 0.0010 2.1400 1.1686
276.987 27.4832 277.293 27.4840 0.0099 0.0159 0.0010 2.1608 1.1354
276.988 27.4863 277.292 27.4871 0.0177 0.0358 0.0010 2.1937 1.1393
276.987 27.4895 277.290 27.4910 0.0283 0.0394 0.0010 2.1819 1.1961
276.982 27.4927 277.289 27.4940 0.0317 0.0464 0.0169 2.2512 1.3056
276.981 27.4958 277.287 27.4966 0.0312 0.0466 0.0159 2.2514 1.3074
276.981 27.4990 277.285 27.4998 0.0353 0.0604 0.0102 2.3605 1.4010
276.967 27.5022 277.283 27.5030 0.0528 0.0909 0.0148 2.1699 1.3736
276.983 27.5053 277.281 27.5061 0.0541 0.0780 0.0301 2.0787 1.2982
276.969 27.5085 277.279 27.5092 0.0572 0.0742 0.0403 2.0683 1.1800
276.967 27.5117 277.276 27.5124 0.0547 0.0885 0.0210 2.2335 1.1660
276.967 27.5148 277.274 27.5155 0.0472 0.0837 0.0108 2.2919 1.1837
276.969 27.5180 277.270 27.5186 0.0230 0.0395 0.0010 2.3404 1.3000
276.974 27.5212 277.266 27.5219 0.0218 0.0432 0.0010 2.2934 1.2756
276.951 27.5243 277.263 27.5249 0.0457 0.0834 0.0010 1.9416 1.1509
276.947 27.5275 277.259 27.5281 0.0367 0.0688 0.0045 1.7519 1.1588
276.948 27.5307 277.256 27.5317 0.0190 0.0325 0.0056 1.7758 1.1303
276.947 27.5338 277.256 27.5324 0.0165 0.0247 0.0082 1.7737 1.1252
276.949 27.5370 277.254 27.5382 0.0140 0.0201 0.0010 1.8586 1.2422
276.952 27.5402 277.240 27.5777 0.0479 0.1030 0.0010 1.9098 1.1170
276.950 27.5592 277.240 27.5778 0.0474 0.1015 0.0010 1.9205 1.1246
276.943 27.5782 277.239 27.5791 0.0442 0.1007 0.0010 1.8888 1.1409
276.939 27.5813 277.237 27.5824 0.0559 0.0984 0.0010 1.5954 1.0512
276.935 27.5845 277.236 27.5854 0.0682 0.1110 0.0253 1.5744 1.0040
276.933 27.5877 277.236 27.5886 0.0689 0.1114 0.0264 1.5445 0.9898
276.930 27.5908 277.236 27.5902 0.0730 0.1186 0.0273 1.6973 1.0934
276.929 27.5940 277.236 27.5931 0.0716 0.1074 0.0357 2.1304 1.1310
276.928 27.5972 277.236 27.5981 0.0717 0.1319 0.0115 2.1822 1.3145
276.927 27.6003 277.236 27.6005 0.0863 0.1340 0.0387 2.5592 1.4501
276.927 27.6035 277.236 27.6020 0.0894 0.1408 0.0380 2.6994 1.5751
276.938 27.6162 277.262 27.6134 0.0532 0.0854 0.0210 1.7196 1.1010
276.937 27.6193 277.262 27.6226 0.0501 0.0792 0.0210 2.4382 1.3518
276.936 27.6225 277.261 27.6255 0.0505 0.0748 0.0263 1.7567 1.2009
276.931 27.6257 277.259 27.6336 0.0452 0.0565 0.0340 0.9667 1.0409
276.933 27.6288 277.259 27.6339 0.0448 0.0556 0.0339 0.9196 1.0411
276.907 27.6478 277.255 27.6530 0.0413 0.0646 0.0180 1.3640 0.7978
276.911 27.6510 277.253 27.6542 0.0409 0.0645 0.0174 1.5872 0.8563
276.930 27.6573 277.253 27.6560 0.0446 0.0790 0.0101 1.7468 0.9240
276.909 27.6605 277.254 27.6593 0.0534 0.0915 0.0153 1.8230 1.0582
276.908 27.6637 277.255 27.6602 0.0494 0.0773 0.0214 1.7690 1.0628
276.910 27.6668 277.255 27.6606 0.0455 0.0655 0.0254 1.7311 1.0604
276.911 27.6700 277.255 27.6686 0.0343 0.0561 0.0126 1.4585 1.0512
276.911 27.6732 277.256 27.6717 0.0333 0.0496 0.0171 1.6548 1.0784
276.911 27.6763 277.256 27.6736 0.0313 0.0417 0.0210 1.6105 1.0996
276.910 27.7112 277.261 27.7121 0.0533 0.0826 0.0240 2.0984 1.2238
276.900 27.7143 277.260 27.7152 0.0499 0.0754 0.0244 2.0399 1.1884
276.912 27.7175 277.259 27.7184 0.0468 0.0785 0.0150 2.1543 1.2559
276.911 27.7207 277.257 27.7238 0.0441 0.0531 0.0351 2.0886 1.4818
276.908 27.7238 277.256 27.7246 0.0436 0.0538 0.0335 2.0203 1.4973
276.896 27.7270 277.254 27.7277 0.0310 0.0366 0.0254 2.0700 1.5198
276.892 27.7302 277.252 27.7309 0.0285 0.0402 0.0167 1.9974 1.3424
276.893 27.7333 277.249 27.7343 0.0365 0.0686 0.0045 1.8136 1.2944
276.908 27.7365 277.243 27.7391 0.0433 0.0787 0.0079 2.2907 1.5366
276.896 27.7397 277.242 27.7405 0.0579 0.1071 0.0087 2.3336 1.5414
276.895 27.7428 277.240 27.7435 0.0670 0.1008 0.0010 2.3777 1.2742
276.895 27.7460 277.238 27.7468 0.0336 0.0668 0.0010 2.3588 1.1918
276.895 27.7492 277.237 27.7501 0.0170 0.0404 0.0010 2.2581 1.2795
276.893 27.7523 277.235 27.7535 0.0268 0.0577 0.0010 2.2060 1.3524
276.892 27.7555 277.234 27.7563 0.0255 0.0615 0.0010 2.3792 1.6251
276.893 27.7587 277.233 27.7596 0.0168 0.0522 0.0010 2.1185 1.7933
276.896 27.7618 277.230 27.7637 0.0404 0.0635 0.0010 1.5257 1.9055
276.897 27.7650 277.229 27.7658 0.0398 0.0573 0.0223 1.4227 1.0624
276.889 27.7682 277.226 27.7689 0.0508 0.0787 0.0229 1.4455 1.1716
276.882 27.7713 277.222 27.7720 0.0558 0.0960 0.0156 1.6202 1.2001
276.871 27.7745 277.220 27.7755 0.0664 0.1043 0.0286 2.0001 1.1619
276.868 27.7777 277.218 27.7789 0.0588 0.1068 0.0107 2.0941 1.2026
276.868 27.7808 277.215 27.7837 0.0472 0.0920 0.0010 2.1121 1.3652
276.839 27.7840 277.214 27.7847 0.0541 0.1111 0.0010 2.0991 1.3095
276.873 27.7872 277.212 27.7881 0.0298 0.0887 0.0010 2.0617 1.2105
276.872 27.7903 277.207 27.7932 0.0207 0.0408 0.0010 1.7770 1.1148
276.871 27.7935 277.204 27.7957 0.0263 0.0467 0.0010 1.6669 1.1121
276.869 27.7967 277.201 27.7982 0.0195 0.0289 0.0100 1.6751 1.1246
276.868 27.7998 277.198 27.8004 0.0196 0.0288 0.0104 1.8696 1.2422
276.868 27.8030 277.193 27.8040 0.0246 0.0433 0.0059 1.8852 1.2395
276.884 27.8062 277.187 27.8085 0.0384 0.0530 0.0237 2.0010 1.1870
276.869 27.8283 277.163 27.8343 0.0133 0.0243 0.0024 1.7743 1.3362
276.862 27.8347 277.163 27.8355 0.0155 0.0309 0.0010 1.8060 1.3273
276.862 27.8378 277.161 27.8386 0.0321 0.0751 0.0010 1.8622 1.3843
276.832 27.8442 277.157 27.8450 0.0396 0.0429 0.0363 1.9602 1.2421
276.833 27.8473 277.155 27.8481 0.0224 0.0264 0.0184 1.7829 1.0775
276.836 27.8505 277.154 27.8514 0.0150 0.0229 0.0072 1.7618 1.0884
276.870 27.8537 277.153 27.8546 0.0118 0.0206 0.0030 1.7498 1.1125
276.869 27.8568 277.152 27.8577 0.0105 0.0123 0.0088 1.8553 1.1218
276.867 27.8600 277.151 27.8608 0.0243 0.0445 0.0041 1.9372 1.2005
276.865 27.8632 277.150 27.8641 0.0138 0.0265 0.0011 1.9353 1.2786
276.862 27.8790 277.148 27.8799 0.0231 0.0443 0.0010 2.2063 1.3363
276.859 27.8822 277.148 27.8831 0.0086 0.0240 0.0010 2.3052 1.3586
276.853 27.8853 277.148 27.8844 0.0057 0.0137 0.0010 2.3117 1.3397
276.849 27.8885 277.148 27.8876 0.0150 0.0355 0.0010 2.2928 1.3396
276.845 27.8917 277.149 27.8908 0.0239 0.0626 0.0010 2.2934 1.2887
276.842 27.8948 277.149 27.8939 0.0172 0.0296 0.0010 2.2854 1.1586
276.840 27.8980 277.150 27.8971 0.0335 0.0705 0.0010 2.1961 1.2486
276.837 27.9012 277.150 27.9003 0.0351 0.0639 0.0010 2.2544 1.3273
276.865 27.9265 277.156 27.9256 0.0228 0.0417 0.0010 2.0684 1.2895
276.855 27.9297 277.157 27.9285 0.0352 0.0841 0.0010 1.9871 1.2110
276.853 27.9328 277.158 27.9319 0.0375 0.0725 0.0010 1.9143 1.1738
276.852 27.9360 277.159 27.9350 0.0602 0.1152 0.0052 1.8797 1.1306
276.852 27.9392 277.160 27.9383 0.0838 0.0990 0.0687 1.9167 1.1570
276.856 27.9423 277.161 27.9415 0.0665 0.0842 0.0488 1.8747 1.2016
276.860 27.9455 277.163 27.9446 0.0816 0.1038 0.0010 1.6924 1.1118
276.860 27.9487 277.164 27.9478 0.0436 0.0966 0.0010 1.6773 1.1624
276.860 27.9518 277.165 27.9510 0.0239 0.0479 0.0010 1.7568 1.2392
276.850 27.9550 277.167 27.9541 0.0094 0.0133 0.0010 1.9070 1.2369
276.838 27.9930 277.171 27.9926 0.0539 0.1184 0.0010 1.6396 1.0831
276.836 27.9962 277.171 27.9954 0.0816 0.1652 0.0010 1.5770 1.0481
276.833 27.9993 277.171 27.9986 0.0192 0.0527 0.0010 1.7361 1.1108
276.830 28.0025 277.171 28.0026 0.0071 0.0114 0.0010 2.1137 1.2039
276.828 28.0057 277.171 28.0048 0.0095 0.0183 0.0010 2.3280 1.2389
276.825 28.0088 277.171 28.0079 0.0242 0.0393 0.0010 2.6168 1.3184
276.823 28.0120 277.172 28.0111 0.0378 0.0472 0.0285 2.4030 1.2577
276.822 28.0152 277.172 28.0143 0.0340 0.0403 0.0277 1.8958 1.1114
276.821 28.0183 277.172 28.0174 0.0346 0.0446 0.0245 1.6044 1.0384
276.820 28.0215 277.173 28.0202 0.0535 0.0901 0.0170 1.5617 1.0244
276.818 28.0247 277.174 28.0239 0.0740 0.0959 0.0521 1.9101 1.0813
276.818 28.0278 277.175 28.0270 0.0592 0.0882 0.0303 1.8807 1.0665
276.817 28.0310 277.176 28.0301 0.0539 0.0806 0.0272 1.8598 1.0799
276.813 28.0342 277.177 28.0333 0.0334 0.0560 0.0108 1.9972 1.1327
276.814 28.0373 277.178 28.0364 0.0262 0.0342 0.0182 1.7019 1.0498
276.820 28.0405 277.179 28.0396 0.0297 0.0408 0.0185 1.5629 0.9099
276.818 28.0437 277.179 28.0426 0.0276 0.0496 0.0056 1.5694 0.7928
276.816 28.0468 277.180 28.0449 0.0368 0.0644 0.0091 1.4959 0.8180
276.815 28.0500 277.180 28.0468 0.0400 0.0501 0.0299 1.2196 0.8537
